iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ECU,South America,Ecuador,2020-05-08,30298.0,878.0,766.286,1654.0,36.0,107.714,1717.276,49.765,43.433,93.748,2.04,6.105,,,,,,,,,40630.0,-3743.0,2.303,-0.212,510.0,0.029,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-09,28818.0,-1480.0,354.571,1704.0,50.0,91.571,1633.39,-83.886,20.097,96.582,2.834,5.19,,,,,,,,,41501.0,871.0,2.352,0.049,368.0,0.021,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-10,29071.0,253.0,229.571,1717.0,13.0,49.429,1647.73,14.34,13.012,97.319,0.737,2.802,,,,,,,,,43315.0,1814.0,2.455,0.103,,,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-11,29559.0,488.0,3.0,2127.0,410.0,80.429,1675.39,27.66,0.17,120.557,23.239,4.559,,,,,,,,,41938.0,-1377.0,2.377,-0.078,,,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-12,29509.0,-50.0,-338.857,2145.0,18.0,82.286,1672.556,-2.834,-19.206,121.578,1.02,4.664,,,,,,,,,44188.0,2250.0,2.505,0.128,,,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-13,30419.0,910.0,-208.857,2327.0,182.0,108.286,1724.134,51.578,-11.838,131.893,10.316,6.138,,,,,,,,,44285.0,97.0,2.51,0.005,202.0,0.011,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-14,30486.0,67.0,152.286,2334.0,7.0,102.286,1727.932,3.798,8.631,132.29,0.397,5.798,,,,,,,,,44349.0,64.0,2.514,0.004,,,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-15,30502.0,16.0,29.143,2338.0,4.0,97.714,1728.838,0.907,1.652,132.517,0.227,5.538,,,,,,,,,47881.0,3532.0,2.714,0.2,1036.0,0.059,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-16,31467.0,965.0,378.429,2594.0,256.0,127.143,1783.534,54.696,21.449,147.027,14.51,7.206,,,,,,,,,50020.0,2139.0,2.835,0.121,1217.0,0.069,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-17,32763.0,1296.0,527.429,2688.0,94.0,138.714,1856.991,73.457,29.894,152.355,5.328,7.862,,,,,,,,,51395.0,1375.0,2.913,0.078,1154.0,0.065,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-18,33182.0,419.0,517.571,2736.0,48.0,87.0,1880.74,23.749,29.336,155.075,2.721,4.931,,,,,,,,,52712.0,1317.0,2.988,0.075,1539.0,0.087,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-19,33582.0,400.0,581.857,2799.0,63.0,93.429,1903.411,22.672,32.979,158.646,3.571,5.295,,,,,,,,,53813.0,1101.0,3.05,0.062,1375.0,0.078,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-20,34151.0,569.0,533.143,2839.0,40.0,73.143,1935.662,32.251,30.218,160.913,2.267,4.146,,,,,,,,,55384.0,1571.0,3.139,0.089,1586.0,0.09,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
ECU,South America,Ecuador,2020-05-21,34854.0,703.0,624.0,2888.0,49.0,79.143,1975.508,39.846,35.368,163.69,2.777,4.486,,,,,,,,,57126.0,1742.0,3.238,0.099,1825.0,0.103,,,people tested,86.11,17643060.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.752
